time,open,high,low,close,vol
20180103055900,15095.0,15095.0,15070.0,15089.0,8.42712
20180103055800,15095.0,15104.0,15094.0,15095.0,3.96363
20180103055700,15100.0,15101.0,15074.0,15098.0,12.5881
20180103055600,15103.0,15103.0,15100.0,15100.0,3.39695
20180103055500,15101.3,15116.0,15101.0,15101.3,2.70221
20180103055400,15102.0,15102.0,15093.0,15101.0,6.85984
20180103055300,15122.0,15122.0,15102.0,15102.0,6.65797
20180103055200,15124.0,15131.0,15121.0,15122.0,6.25866
20180103055100,15108.0,15131.0,15108.0,15128.0,15.5066
20180103055000,15097.0,15131.0,15097.0,15110.0,50.4053
20180103054900,15122.0,15135.0,15096.0,15096.0,12.9295
20180103054800,15081.0,15133.0,15080.0,15122.0,35.9233
20180103054700,15096.0,15096.0,15071.0,15080.0,22.2061
20180103054600,15060.3,15098.0,15059.0,15097.0,11.7123
20180103054500,15092.0,15092.0,15050.0,15060.0,26.3205
20180103054400,15102.5,15106.0,15086.0,15092.0,10.7547
20180103054300,15140.0,15141.0,15099.0,15101.3,34.1463
20180103054200,15150.0,15150.0,15140.0,15140.0,19.1327
20180103054100,15152.0,15159.0,15145.0,15150.0,6.2199
20180103054000,15151.0,15166.0,15150.0,15159.0,16.904
20180103053900,15160.0,15160.0,15150.0,15151.0,15.342
20180103053800,15160.0,15161.0,15159.0,15159.0,6.8292
20180103053700,15150.0,15159.0,15150.0,15159.0,6.29187
20180103053600,15151.0,15151.0,15150.0,15150.0,4.51317
20180103053500,15152.0,15152.0,15150.0,15151.0,6.09093
20180103053400,15145.0,15155.0,15145.0,15152.0,9.5716
20180103053300,15160.0,15168.0,15145.0,15145.0,8.75609
20180103053200,15172.0,15172.0,15161.0,15162.0,11.7991
20180103053100,15146.0,15184.5,15146.0,15171.0,23.9532
20180103053000,15147.0,15165.0,15133.0,15143.0,8.27829
20180103052900,15128.0,15164.0,15113.0,15138.0,24.0161
20180103052800,15100.0,15129.0,15095.0,15128.0,4.03885
20180103052700,15143.0,15144.0,15100.0,15100.0,6.98443
20180103052600,15121.0,15160.0,15121.0,15141.0,9.35283
20180103052500,15117.0,15134.0,15117.0,15121.0,12.756
20180103052400,15118.0,15154.0,15115.0,15127.0,25.052
20180103052300,15124.0,15124.0,15099.0,15117.0,11.3105
20180103052200,15098.0,15132.0,15098.0,15131.0,12.5669
20180103052100,15095.0,15120.0,15090.0,15110.0,18.4559
20180103052000,15110.0,15113.0,15077.0,15095.0,11.5317
20180103051900,15092.0,15115.0,15089.0,15110.0,18.3574
